resource_id,url,google_type,prior_http_status,prior_reason,source_file,source_line_before_cleanup,project_title,resource_label,offline_match_status,offline_best_path,offline_best_sha256,future_sync_action,affected_items,removed_labels,public_results,source_occurrence_count
rpm-0001,https://drive.google.com/file/d/1_lVufi0ZkCYb67ylza0FwUXop5DfjcHt/view?usp=sharing,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,2581,Meet the Team: Giovanni Buffa | Meet the Team: Giacomo Piccinini,Landscape,missing_artifact,Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png,4223eedc500197b9095eff3391621f09cb231e266a4b0c7feaedd777eeff4962,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Meet the Team: Giovanni Buffa,Landscape,remaining links preserved,1
rpm-0002,https://drive.google.com/file/d/1-bR7temcdbWPwQPxu7hLbV-zm-JW3lVI/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,3969,The Ultimate Landing Page Checklist | Bad ideas are part of creativity,Landscape,missing_artifact,Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png,4223eedc500197b9095eff3391621f09cb231e266a4b0c7feaedd777eeff4962,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,The Ultimate Landing Page Checklist,Landscape | Square | Vertical,remaining links preserved,1
rpm-0003,https://drive.google.com/file/d/1-D6Dy41ZAYV9yYuVICwhsRB_aJYJbDjo/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,4154,Societal Marketing in Practice,Landscape,missing_artifact,Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png,4223eedc500197b9095eff3391621f09cb231e266a4b0c7feaedd777eeff4962,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Societal Marketing in Practice,Landscape | Square | Vertical,remaining links preserved,1
rpm-0004,https://drive.google.com/file/d/1-fgJ9Mj1nhl5jeWh8pKmWDO4KqlJcZvF/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,8339,Online ad spend is eating the pie,Square,missing_artifact,Ref Docs/Work/Public Speaking/Images/Staff/square-collage.jpg,27ed996fdda1b2c944ba749e93852e39d03325feb1fac478e5bc55bdcb9210df,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Online ad spend is eating the pie,Square,remaining links preserved,1
rpm-0005,https://drive.google.com/file/d/11-IZQo75CBL0Lg9M9-qDUV-FFaFs7opJ/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,8395,Visuals matter (a lot) | Google dominates search,Landscape,missing_artifact,Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png,4223eedc500197b9095eff3391621f09cb231e266a4b0c7feaedd777eeff4962,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Visuals matter (a lot),Landscape,remaining links preserved,1
rpm-0006,https://drive.google.com/file/d/12wUVdQ4-9hfMfaNIf5aOKK97n_jI8UF6/view?usp=sharing,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,2382,"Meet Pavel, Video Production Intern",Square | Landscape,missing_artifact,Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png,4223eedc500197b9095eff3391621f09cb231e266a4b0c7feaedd777eeff4962,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,"Meet Pavel, Video Production Intern",Square,no public link available,1
rpm-0007,https://drive.google.com/file/d/12WXaZbo4B-qMnWR3y3cOCg-HDJqbMXjz/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,9330,Email is not dead,Square,missing_artifact,Ref Docs/Work/Public Speaking/Images/Staff/square-collage.jpg,27ed996fdda1b2c944ba749e93852e39d03325feb1fac478e5bc55bdcb9210df,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Email is not dead,Square,remaining links preserved,1
rpm-0008,https://drive.google.com/file/d/1384mgL6dG0Oo0PbSZJJwBhSOcCmJcT4g/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,8435,Webinars pull strong attendance,Square,missing_artifact,Ref Docs/Work/Public Speaking/Images/Staff/square-collage.jpg,27ed996fdda1b2c944ba749e93852e39d03325feb1fac478e5bc55bdcb9210df,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Webinars pull strong attendance,Square,remaining links preserved,1
rpm-0009,https://drive.google.com/file/d/13EA8dUVWADImzWEaHAQhCL-QgiLM0Xad/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,8691,"Reduce friction, win better deals",Square,missing_artifact,Ref Docs/Work/Public Speaking/Images/Staff/square-collage.jpg,27ed996fdda1b2c944ba749e93852e39d03325feb1fac478e5bc55bdcb9210df,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,"Reduce friction, win better deals",Square,remaining links preserved,1
rpm-0010,https://drive.google.com/file/d/15H2VuqnUrJ1UUq6fAOyaMqh2DOTopMsT/view?usp=sharing,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,2345,"Meet Felix, Web Developer Intern | Meet Raluca, Graphic Design Intern",Landscape,missing_artifact,Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png,4223eedc500197b9095eff3391621f09cb231e266a4b0c7feaedd777eeff4962,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,"Meet Felix, Web Developer Intern",Landscape,no public link available,1
rpm-0011,https://drive.google.com/file/d/16Bjwhvh7cdivJB8flwoTcS5ff0M7l59J/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,9258,Make visuals part of the strategy | Win the first 8 seconds,Landscape,missing_artifact,Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png,4223eedc500197b9095eff3391621f09cb231e266a4b0c7feaedd777eeff4962,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Make visuals part of the strategy,Landscape,remaining links preserved,1
rpm-0012,https://drive.google.com/file/d/1AEUlRMUJBOU4eQ3Nzvmnatqty68KFv3s/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,8755,In-house vs outsource is a real split,Square,missing_artifact,Ref Docs/Work/Public Speaking/Images/Staff/square-collage.jpg,27ed996fdda1b2c944ba749e93852e39d03325feb1fac478e5bc55bdcb9210df,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,In-house vs outsource is a real split,Square,remaining links preserved,1
rpm-0013,https://drive.google.com/file/d/1AKfEIpnOEsU8STbd3bOX_p2CT6Dmw88U/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,9234,Win the first 8 seconds,Square,missing_artifact,Ref Docs/Work/Public Speaking/Images/Staff/square-collage.jpg,27ed996fdda1b2c944ba749e93852e39d03325feb1fac478e5bc55bdcb9210df,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Win the first 8 seconds,Square,remaining links preserved,1
rpm-0014,https://drive.google.com/file/d/1APBHr0BfspBhm4s0XWlfTjcgMmEcPEeK/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,8204,"Trust is a relationship, not a transaction | Klint Page",Square,missing_artifact,Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png,4223eedc500197b9095eff3391621f09cb231e266a4b0c7feaedd777eeff4962,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,"Trust is a relationship, not a transaction",Landscape,remaining links preserved,1
rpm-0015,https://drive.google.com/file/d/1Bc0vLS7-4_qltglG_RAgSsb1Fu4IFDls/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,9194,Paid social is the baseline now | Page 2 might as well not exist,Landscape,missing_artifact,Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png,4223eedc500197b9095eff3391621f09cb231e266a4b0c7feaedd777eeff4962,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Paid social is the baseline now,Landscape,remaining links preserved,1
rpm-0016,https://drive.google.com/file/d/1btLk4LHjCn-KSNPsy5beEMk_ImoyYgbd/view?usp=sharing,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,2432,"Meet Coco, Marketing Intern | Meet Rayane, Web Developer Intern",Landscape,missing_artifact,Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png,4223eedc500197b9095eff3391621f09cb231e266a4b0c7feaedd777eeff4962,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,"Meet Coco, Marketing Intern",Landscape,no public link available,1
rpm-0017,https://drive.google.com/file/d/1CAsMzqxRZvWrLFQpiSC0H9eWEEMzv7WL/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,8371,Google dominates search,Square,missing_artifact,Ref Docs/Work/Public Speaking/Images/Staff/square-collage.jpg,27ed996fdda1b2c944ba749e93852e39d03325feb1fac478e5bc55bdcb9210df,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Google dominates search,Square,remaining links preserved,1
rpm-0018,https://drive.google.com/file/d/1CpB_AZedg2sUJZ9hb5C4XkXW8jmUbKF8/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,8363,Google dominates search | Online ad spend is eating the pie,Landscape,missing_artifact,Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png,4223eedc500197b9095eff3391621f09cb231e266a4b0c7feaedd777eeff4962,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Google dominates search,Landscape,remaining links preserved,1
rpm-0019,https://drive.google.com/file/d/1d4guGOw-Nc0s1_4WMiC84bbaimyqL0Qa/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,4191,Sustainable Marketing Benefits,Landscape,missing_artifact,Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png,4223eedc500197b9095eff3391621f09cb231e266a4b0c7feaedd777eeff4962,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Sustainable Marketing Benefits,Landscape | Square | Vertical,remaining links preserved,1
rpm-0020,https://drive.google.com/file/d/1dlT5QNMbtX-Lnlzthf4zbspnBG9rqRqN/view,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,8787,Video is a lead gen weapon,Square,missing_artifact,Ref Docs/Work/Public Speaking/Images/Staff/square-collage.jpg,27ed996fdda1b2c944ba749e93852e39d03325feb1fac478e5bc55bdcb9210df,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,Video is a lead gen weapon,Square,remaining links preserved,1
rpm-0021,https://drive.google.com/file/d/1e12SMcLrI53ioIA_VwNDICY5prMGsIno/view?usp=sharing,google-drive,404,HTTP missing response.,assets/js/some_work_data.js,2411,"Meet Rayane, Web Developer Intern",Square | Landscape,missing_artifact,Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png,4223eedc500197b9095eff3391621f09cb231e266a4b0c7feaedd777eeff4962,No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.,"Meet Rayane, Web Developer Intern",Square,no public link available,1
