Resource,URL,Description,Notes,Type,Expertise to Use,Freemium,Pricing,Use cases,Region,Resource Type,Theme,Category
Content Publishing,,,,,,,,,,,,
Workflows and Guides,,,,,,,,,,,,
Bulk social media via Publer - General Guide [Doc],Bulk social media via Publer - General Guide,Bulk scheduling workflow for Publer social posts,"Bulk upload steps, formatting rules, media specs, common errors",Social scheduling guide,Beginner,N/A,Free,"Schedule weekly content, bulk upload campaigns, standardize posts, reduce manual publishing",Global,Guide,Content Publishing,Scheduling
How to Write Social Media Captions for Klint [Doc],How to Write Social Media Captions for Klint,Caption writing standards for Klint social media,"Voice rules, hashtags, CTAs, do and donts",Copywriting guide,Beginner,N/A,Free,"Write on-brand captions, train new writers, QA captions, improve engagement",Global,Guide,Content Publishing,Scheduling
Twitter via Publer [Doc],Twitter via Publer,Twitter publishing checklist using Publer,"Character limits, link previews, threads, tagging rules",Channel publishing guide,Beginner,N/A,Free,"Schedule tweets, publish threads, keep brand consistency, reduce posting errors",Global,Guide,Content Publishing,Scheduling
Pinterest via Publer [Doc],Pinterest via Publer,Pinterest pin scheduling steps in Publer,"Pin formats, image specs, board targeting, link rules",Channel publishing guide,Beginner,N/A,Free,"Schedule pins, standardize pin assets, speed production, avoid spec issues",Global,Guide,Content Publishing,Scheduling
LinkedIn via Publer [Doc],LinkedIn via Publer,LinkedIn scheduling workflow in Publer,"Post formatting, link rules, mentions, best timing",Channel publishing guide,Beginner,N/A,Free,"Schedule LinkedIn posts, coordinate campaigns, enforce formatting, cut manual work",Global,Guide,Content Publishing,Scheduling
Facebook via Publer [Doc],Facebook via Publer,Facebook page posting workflow in Publer,"Page selection, media formats, links, engagement basics",Channel publishing guide,Beginner,N/A,Free,"Schedule page posts, manage assets, standardize captions, avoid publishing mistakes",Global,Guide,Content Publishing,Scheduling
Google My Business via Publer [Doc],Google My Business via Publer,Google Business Profile posting steps in Publer,"Post types, image rules, links, approvals",Local posting guide,Beginner,N/A,Free,"Publish local updates, promote offers, keep listings active, support local SEO",Global,Guide,Content Publishing,Scheduling
,,,,,,,,,,,,
Sheduling Tools and Templates,,,,,,,,,,,,
Publishing Tools and Channels [Sheet],https://docs.google.com/spreadsheets/d/1u2OsTEPvoXCJtX6U_fhfLCuahrQIIBVE9v2woWRsfco/,Directory of publishing tools and channels with pricing and use cases,"Scheduling tools, writing platforms, distribution channels, pricing, freemium limits, use cases",Publishing stack directory,Beginner,N/A,Free,"Compare scheduling tools, pick publishing platforms, estimate budgets, choose distribution channels, plan content ops stack",Global,Tool List,Content Publishing,Scheduling
SoMe Calendar Template [Sheet],SoMe Calendar Template,Social media scheduling template,"Scheduling, publishing, calendar",Template,Beginners,Free template,N/A,"Social media planning, scheduling",Global,Resource,Content Publishing,Scheduling
Social Media Calendar - GS [Sheet],Social Media Calendar - GS,Social media content calendar,"Scheduling, publishing, social media",Example,Beginners,Free example,N/A,"Content planning, campaign scheduling",Global,Resource,Content Publishing,Scheduling
Curate Content Planner  [Sheet],Curate Content Planner - GetHiredAbroad.com,"Content curation planner with source links, status, channel fields","Concepts, source URLs, channel, category, themes, format, media, status",Content curation workflow,Beginner,N/A,Free,"Collect source posts, tag by theme, queue content, track status, build repost plan",Global,Template,Content Publishing,Scheduling
Content Creation - Your Portfolio [Sheet],Content Creation - Your Portfolio - GetHiredAbroad.com,"Content ideas by format with hooks, examples, templates","Video types, pillars, themes, hooks, titles, STEPPS, example URLs",Content idea library,Beginner,N/A,Free,"Pick formats fast, generate hooks, map pillars, plan video series, reference examples",Global,Inspiration,Content Publishing,Scheduling
Curated Content - WeGro Coin (Example) [Sheet],Curated Content - WeGro Coin,Example of curated content,"Curated content, publishing, campaigns",Example,Beginners,Free example,N/A,"Curated content, social media posts",Global,Resource,Content Publishing,Scheduling
