resource_id,family,project_title,resource_label,google_type,public_state,url_status,http_status,recommended_public_action,preservation_action,offline_match_status,offline_best_path,offline_best_role,offline_best_score,offline_best_ext,offline_best_size_bytes,offline_best_sha256,local_source_paths,context_source_file,primary_source,source_line,fields,url,final_url,google_file_id,future_sync_action,offline_candidate_paths,notes
"rpm-0001","Social / Some Work","Meet the Team: Giovanni Buffa | Meet the Team: Giacomo Piccinini","Landscape","google-drive","not_working_broken","broken","404","replace or hide public button","preserve manifest row; decide hide vs recreate","missing_artifact","Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png","artifact_candidate","29",".png","30454","4223eedc500197b9095eff3391621f09cb231e266a4b0c7feaedd777eeff4962","","","assets/js/some_work_data.js","2581","text-url","https://drive.google.com/file/d/1_lVufi0ZkCYb67ylza0FwUXop5DfjcHt/view?usp=sharing","https://drive.usercontent.google.com/download?id=1_lVufi0ZkCYb67ylza0FwUXop5DfjcHt&export=download","1_lVufi0ZkCYb67ylza0FwUXop5DfjcHt","No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.","Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png (29, artifact_candidate) | Ref Docs/Work/Public Speaking/Images/Event Banners/Growth Secrets - Social media amplificaiton.jfif (29, artifact_candidate) | Ref Docs/Work/Public Speaking/Images/Event Banners/Growth Secrets - Social Media.jfif (29, artifact_candidate)",""
"rpm-0002","Social / Some Work","The Ultimate Landing Page Checklist | Bad ideas are part of creativity","Landscape","google-drive","not_working_broken","broken","404","replace or hide public button","preserve manifest row; decide hide vs recreate","missing_artifact","Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png","artifact_candidate","29",".png","30454","4223eedc500197b9095eff3391621f09cb231e266a4b0c7feaedd777eeff4962","","","assets/js/some_work_data.js","3969","text-url","https://drive.google.com/file/d/1-bR7temcdbWPwQPxu7hLbV-zm-JW3lVI/view","https://drive.usercontent.google.com/download?id=1-bR7temcdbWPwQPxu7hLbV-zm-JW3lVI&export=download","1-bR7temcdbWPwQPxu7hLbV-zm-JW3lVI","No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.","Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png (29, artifact_candidate) | Ref Docs/Work/Public Speaking/Images/Event Banners/Growth Secrets - Social media amplificaiton.jfif (29, artifact_candidate) | Ref Docs/Work/Public Speaking/Images/Event Banners/Growth Secrets - Social Media.jfif (29, artifact_candidate)",""
"rpm-0003","Social / Some Work","Societal Marketing in Practice","Landscape","google-drive","not_working_broken","broken","404","replace or hide public button","preserve manifest row; decide hide vs recreate","missing_artifact","Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png","artifact_candidate","30",".png","30454","4223eedc500197b9095eff3391621f09cb231e266a4b0c7feaedd777eeff4962","","","assets/js/some_work_data.js","4154","text-url","https://drive.google.com/file/d/1-D6Dy41ZAYV9yYuVICwhsRB_aJYJbDjo/view","https://drive.usercontent.google.com/download?id=1-D6Dy41ZAYV9yYuVICwhsRB_aJYJbDjo&export=download","1-D6Dy41ZAYV9yYuVICwhsRB_aJYJbDjo","No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.","Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png (30, artifact_candidate) | Ref Docs/Work/Public Speaking/Images/Event Banners/Growth Secrets - Social media amplificaiton.jfif (30, artifact_candidate) | Ref Docs/Work/Public Speaking/Images/Event Banners/Growth Secrets - Social Media.jfif (30, artifact_candidate)",""
"rpm-0004","Social / Some Work","Online ad spend is eating the pie","Square","google-drive","not_working_broken","broken","404","replace or hide public button","preserve manifest row; decide hide vs recreate","missing_artifact","Ref Docs/Work/Public Speaking/Images/Staff/square-collage.jpg","artifact_candidate","32",".jpg","255253","27ed996fdda1b2c944ba749e93852e39d03325feb1fac478e5bc55bdcb9210df","","","assets/js/some_work_data.js","8339","text-url","https://drive.google.com/file/d/1-fgJ9Mj1nhl5jeWh8pKmWDO4KqlJcZvF/view","https://drive.usercontent.google.com/download?id=1-fgJ9Mj1nhl5jeWh8pKmWDO4KqlJcZvF&export=download","1-fgJ9Mj1nhl5jeWh8pKmWDO4KqlJcZvF","No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.","Ref Docs/Work/Public Speaking/Images/Staff/square-collage.jpg (32, artifact_candidate) | Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png (29, artifact_candidate) | Ref Docs/Work/Public Speaking/Images/Event Banners/Growth Secrets - Social media amplificaiton.jfif (29, artifact_candidate) | Ref Docs/Work/Public Speaking/Images/Event Banners/Growth Secrets - Social Media.jfif (29, artifact_candidate) | Ref Docs/Trust Signals/Client Logos/InEvent-squarelogo.png (26, artifact_candidate)",""
"rpm-0005","Social / Some Work","Visuals matter (a lot) | Google dominates search","Landscape","google-drive","not_working_broken","broken","404","replace or hide public button","preserve manifest row; decide hide vs recreate","missing_artifact","Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png","artifact_candidate","29",".png","30454","4223eedc500197b9095eff3391621f09cb231e266a4b0c7feaedd777eeff4962","","","assets/js/some_work_data.js","8395","text-url","https://drive.google.com/file/d/11-IZQo75CBL0Lg9M9-qDUV-FFaFs7opJ/view","https://drive.usercontent.google.com/download?id=11-IZQo75CBL0Lg9M9-qDUV-FFaFs7opJ&export=download","11-IZQo75CBL0Lg9M9-qDUV-FFaFs7opJ","No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.","Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png (29, artifact_candidate) | Ref Docs/Work/Public Speaking/Images/Event Banners/Growth Secrets - Social media amplificaiton.jfif (29, artifact_candidate) | Ref Docs/Work/Public Speaking/Images/Event Banners/Growth Secrets - Social Media.jfif (29, artifact_candidate)",""
"rpm-0006","Social / Some Work","Meet Pavel, Video Production Intern","Square | Landscape","google-drive","not_working_broken","broken","404","replace or hide public button","preserve manifest row; decide hide vs recreate","missing_artifact","Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png","artifact_candidate","30",".png","30454","4223eedc500197b9095eff3391621f09cb231e266a4b0c7feaedd777eeff4962","","","assets/js/some_work_data.js","2382","text-url","https://drive.google.com/file/d/12wUVdQ4-9hfMfaNIf5aOKK97n_jI8UF6/view?usp=sharing","https://drive.usercontent.google.com/download?id=12wUVdQ4-9hfMfaNIf5aOKK97n_jI8UF6&export=download","12wUVdQ4-9hfMfaNIf5aOKK97n_jI8UF6","No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.","Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png (30, artifact_candidate) | Ref Docs/Work/Public Speaking/Images/Event Banners/Growth Secrets - Social media amplificaiton.jfif (30, artifact_candidate) | Ref Docs/Work/Public Speaking/Images/Event Banners/Growth Secrets - Social Media.jfif (30, artifact_candidate)",""
"rpm-0007","Social / Some Work","Email is not dead","Square","google-drive","not_working_broken","broken","404","replace or hide public button","preserve manifest row; decide hide vs recreate","missing_artifact","Ref Docs/Work/Public Speaking/Images/Staff/square-collage.jpg","artifact_candidate","32",".jpg","255253","27ed996fdda1b2c944ba749e93852e39d03325feb1fac478e5bc55bdcb9210df","","","assets/js/some_work_data.js","9330","text-url","https://drive.google.com/file/d/12WXaZbo4B-qMnWR3y3cOCg-HDJqbMXjz/view","https://drive.usercontent.google.com/download?id=12WXaZbo4B-qMnWR3y3cOCg-HDJqbMXjz&export=download","12WXaZbo4B-qMnWR3y3cOCg-HDJqbMXjz","No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.","Ref Docs/Work/Public Speaking/Images/Staff/square-collage.jpg (32, artifact_candidate) | Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png (30, artifact_candidate) | Ref Docs/Work/Public Speaking/Images/Event Banners/Growth Secrets - Social media amplificaiton.jfif (30, artifact_candidate) | Ref Docs/Work/Public Speaking/Images/Event Banners/Growth Secrets - Social Media.jfif (30, artifact_candidate) | Ref Docs/Trust Signals/Client Logos/InEvent-squarelogo.png (26, artifact_candidate)",""
"rpm-0008","Social / Some Work","Webinars pull strong attendance","Square","google-drive","not_working_broken","broken","404","replace or hide public button","preserve manifest row; decide hide vs recreate","missing_artifact","Ref Docs/Work/Public Speaking/Images/Staff/square-collage.jpg","artifact_candidate","32",".jpg","255253","27ed996fdda1b2c944ba749e93852e39d03325feb1fac478e5bc55bdcb9210df","","","assets/js/some_work_data.js","8435","text-url","https://drive.google.com/file/d/1384mgL6dG0Oo0PbSZJJwBhSOcCmJcT4g/view","https://drive.usercontent.google.com/download?id=1384mgL6dG0Oo0PbSZJJwBhSOcCmJcT4g&export=download","1384mgL6dG0Oo0PbSZJJwBhSOcCmJcT4g","No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.","Ref Docs/Work/Public Speaking/Images/Staff/square-collage.jpg (32, artifact_candidate) | Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png (30, artifact_candidate) | Ref Docs/Work/Public Speaking/Images/Event Banners/Growth Secrets - Social media amplificaiton.jfif (30, artifact_candidate) | Ref Docs/Work/Public Speaking/Images/Event Banners/Growth Secrets - Social Media.jfif (30, artifact_candidate) | Ref Docs/Trust Signals/Client Logos/InEvent-squarelogo.png (26, artifact_candidate)",""
"rpm-0009","Social / Some Work","Reduce friction, win better deals","Square","google-drive","not_working_broken","broken","404","replace or hide public button","preserve manifest row; decide hide vs recreate","missing_artifact","Ref Docs/Work/Public Speaking/Images/Staff/square-collage.jpg","artifact_candidate","32",".jpg","255253","27ed996fdda1b2c944ba749e93852e39d03325feb1fac478e5bc55bdcb9210df","","","assets/js/some_work_data.js","8691","text-url","https://drive.google.com/file/d/13EA8dUVWADImzWEaHAQhCL-QgiLM0Xad/view","https://drive.usercontent.google.com/download?id=13EA8dUVWADImzWEaHAQhCL-QgiLM0Xad&export=download","13EA8dUVWADImzWEaHAQhCL-QgiLM0Xad","No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.","Ref Docs/Work/Public Speaking/Images/Staff/square-collage.jpg (32, artifact_candidate) | Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png (29, artifact_candidate) | Ref Docs/Work/Public Speaking/Images/Event Banners/Growth Secrets - Social media amplificaiton.jfif (29, artifact_candidate) | Ref Docs/Work/Public Speaking/Images/Event Banners/Growth Secrets - Social Media.jfif (29, artifact_candidate) | Ref Docs/Trust Signals/Client Logos/InEvent-squarelogo.png (26, artifact_candidate)",""
"rpm-0010","Social / Some Work","Meet Felix, Web Developer Intern | Meet Raluca, Graphic Design Intern","Landscape","google-drive","not_working_broken","broken","404","replace or hide public button","preserve manifest row; decide hide vs recreate","missing_artifact","Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png","artifact_candidate","30",".png","30454","4223eedc500197b9095eff3391621f09cb231e266a4b0c7feaedd777eeff4962","","","assets/js/some_work_data.js","2345","text-url","https://drive.google.com/file/d/15H2VuqnUrJ1UUq6fAOyaMqh2DOTopMsT/view?usp=sharing","https://drive.usercontent.google.com/download?id=15H2VuqnUrJ1UUq6fAOyaMqh2DOTopMsT&export=download","15H2VuqnUrJ1UUq6fAOyaMqh2DOTopMsT","No likely offline artifact found; keep the manifest record and decide whether to hide the public link or rebuild the resource.","Ref Docs/Trust Signals/Client Logos/social-media-today-logo.png (30, artifact_candidate) | Ref Docs/Work/Public Speaking/Images/Event Banners/Growth Secrets - Social media amplificaiton.jfif (30, artifact_candidate) | Ref Docs/Work/Public Speaking/Images/Event Banners/Growth Secrets - Social Media.jfif (30, artifact_candidate)",""
