Project Name,Website,Description,Activation,Action,Name of Quest,Tags,Type,Expertise,Activities,Live URL,Referral Link,Quest Doc,Application,Documentation,Blog,X,Discord,Telegram,Github,Linkedin,Token,Listing
Irys,https://irys.xyz/,Layer-1 programmable datachain for AI & storage,538,"Depsoit, Buy Node on Nodes Garden",Run a Irys Node on Nodes Garden,"datachain, L1, storage, AI coordination, EVM-compatible","On-chain activity, campaign quest",Intermediate,"Connect wallet, complete on-chain task, claim rewards",https://app.layer3.xyz/activations/nodes-garden-irys,N/A,https://docs.google.com/document/d/1qCBETAeq2n8ZsDNhMtls5dGLA_orAHx9xtpXiQa491M/,https://nodes.garden/dashboard/projects/117,https://docs.irys.xyz/build/d/quickstart,N/A,https://x.com/irys_xyz,N/A,N/A,https://github.com/Irys-xyz,N/A,TGE Soon,N/A
Strata,https://strata.money,Structured yield tranching protocol for USDe deposits,2909,Deposit USDe to mint pUSDe for structured yield,Strata – Structured yield on USDe,"Ethereum, DeFi, Yield Tranching, Ethena","Campaign Quest, Yield Optimization",Intermediate,"Connect wallet, deposit USDe, mint pUSDe, earn points, social tasks",https://app.layer3.xyz/activations/strata-structured-yield-on-usde,https://deposit.strata.money/?ref=GLpYR2jX,https://docs.google.com/document/d/10jzwFHG_VxaahCma3-a1JzMjb7utxJkPED7OyOSEdVY/,https://deposit.strata.money,https://docs.strata.money,https://mirror.xyz/0xf911b79f573dD758166FB33dE96d2727e25071b6,https://x.com/strata_money,https://discord.gg/sHtZDvTPxB,https://t.me/strata_official,https://github.com/strata-money,N/A,TGE Soon,N/A
Ducat Protocol,https://ducatprotocol.com,Bitcoin-native stablecoin protocol with UNIT token,2806,Setup Bitcoin wallet for Mutinynet testnet tokens,Ducat Part 2 – Mutinynet Testnet Faucet,"Bitcoin, DeFi, Stablecoin, Layer 1","On-Chain Activity, Testnet Setup",Beginner,"Setup wallet, add testnet, claim faucet, earn Quanta",https://app.layer3.xyz/activations/ducat-part-2-mutinynet-testnet-faucet,https://app.ducatprotocol.com/quanta?referral=p6Rtob3uaYQY,https://docs.google.com/document/d/1gLl4SCct1Lv8zHhdfbyAJuZEL-xEOPmX6Vn5ITJH7Ks/,https://app.ducatprotocol.com,https://docs.ducatprotocol.com,N/A,https://x.com/Ducatstable,https://discord.gg/ducat,https://t.me/ducat_announcements,https://github.com/DUCAT-UNIT,https://www.linkedin.com/company/ducatstable/,DUCAT,https://coinmarketcap.com/currencies/ducat/
Ducat Protocol,https://ducatprotocol.com,Bitcoin-native stablecoin protocol with UNIT token,2955,Connect Bitcoin wallet and earn Quanta points,Ducat Quanta Quickstart,"Bitcoin, DeFi, Stablecoin, Layer 1","Campaign Quest, Social Tasks",Beginner,"Connect wallet, social tasks, test features, invite friends",https://app.layer3.xyz/activations/ducat-quanta-quickstart,https://app.ducatprotocol.com/quanta?referral=p6Rtob3uaYQY,https://docs.google.com/document/d/1bVYxM89cAppQ0QKYlSavRl8t7myB3phQumAx8VGnUs8/,https://app.ducatprotocol.com,https://docs.ducatprotocol.com,N/A,https://x.com/Ducatstable,https://discord.gg/ducat,https://t.me/ducat_announcements,https://github.com/DUCAT-UNIT,https://www.linkedin.com/company/ducatstable/,DUCAT,https://coinmarketcap.com/currencies/ducat/
NEAR Mobile,https://nearmobile.app,Mobile wallet for NEAR Protocol with NPRO rewards,3082,Download NEAR Mobile wallet and earn NPRO,NEAR Mobile Wallet Launch,"NEAR, Mobile Wallet, Cross-chain, Staking","Creator Platform, Mobile App",Beginner,"Download app, create wallet, stake NEAR, earn NPRO",https://app.layer3.xyz/activations/near-mobile-wallet-launch,https://nearmobile.app/,https://docs.google.com/document/d/1NzNwprf49mMbGvXwuary6fXgGa1_9duhBgKUU1TMWz8/,https://nearmobile.app,https://docs.peersyst.com/near-mobile-support-center,N/A,https://x.com/nearmobile_app,https://discord.gg/XxcPnBKXdp,N/A,https://github.com/near,https://www.linkedin.com/company/peersyst-technology/,NPRO,N/A
Fluence,https://www.fluence.network,Decentralized compute network with tokenized infrastructure,2626,Hold FLT tokens and complete tasks for points,Fluence – The Pointless Program,"DePIN, Compute, AI, Infrastructure","Campaign Quest, DePIN Rewards",Intermediate,"Hold tokens, stake FLT, complete tasks, refer friends, earn points",https://app.layer3.xyz/activations/fluence-the-pointless-program,https://pointless.fluence.network/?ref=oa05xh86,https://docs.google.com/document/d/1mpNR3bGTNI3i3vEOm6JpN2kwU_I8Kyxke2ETG6RbHuM/,https://pointless.fluence.network,https://fluence.dev/docs,https://www.fluence.network/blog,https://twitter.com/fluence_project,https://fluence.chat,https://t.me/fluence_official,https://github.com/fluencelabs,https://www.linkedin.com/showcase/fluencenetwork/,FLT,https://www.coingecko.com/en/coins/fluence
AITV,https://aitv.gg,Autonomous AI media network with livestreaming agents,3047,Interact with AI agents and earn AITV rewards,"AITV.gg – AI Hosts, Real Rewards","AI, Media, Streaming, Base","Creator Platform, AI Interaction",Beginner,"Watch streams, interact with agents, complete missions, earn credits",https://app.layer3.xyz/activations/aitv-ai-hosts-real-rewards,https://aitv.gg/invite/Klint,https://docs.google.com/document/d/17vWU1iiFvBbzEtv-JInb0Oop8WM7OAh9M9DuAoTvwy0,https://aitv.gg,https://docs.aitv.gg,https://aitv.gg/blog,https://x.com/aitvgg,https://aitv.gg/discord,N/A,https://github.com/agentcoinorg,https://www.linkedin.com/company/aitvgg/,AITV,https://www.coingecko.com/en/coins/agentcoin-tv
MindShare,https://mindoshare.ai,AI social influence ranking platform for Web3 creators,2746,Connect profile and generate social influence score,MindShare – Your Influence,"AI, Social Media, Web3, Influence","Creator Platform, Social Analytics",Beginner,"Connect profiles, generate social card, climb leaderboard, earn rewards",https://app.layer3.xyz/activations/mindshare-your-influence,https://mindoshare.ai/kol?ref=cmf0y27td0zbznp3wlyc8obvv,https://docs.google.com/document/d/1JOdgOnp2_ILvf0Hls5rSoar54v6suPZ3p0rIp9IhtpI/edit?tab=t.0,https://mindoshare.ai,N/A,N/A,https://x.com/MindoAI,N/A,N/A,N/A,N/A,No Token,N/A
Glider,https://glider.fi,AI-powered automated crypto portfolio management platform,3260,Create and automate crypto portfolio strategies,Glider – Your Portfolio On Autopilot,"DeFi, AI, Portfolio Management, Automation","Campaign Quest, Portfolio Automation",Intermediate,"Create portfolio, automate strategies, test backtesting, connect wallet",https://app.layer3.xyz/activations/glider-your-portfolio-on-autopilot,https://glider.fi/?invite=0e9d43ce,https://docs.google.com/document/d/1xk_QAV48P0PN5sfKq7ZSvVACD00sHevVcMXzd3YYWI4/edit?tab=t.0#heading=h.ag1v2bghx1ky,https://glider.fi,N/A,https://blog.glider.fi/,https://x.com/glider_fi,https://discord.gg/glider,https://t.me/gliderfi,N/A,https://www.linkedin.com/company/glider-fi/,TGE Soon,N/A
Nexchain,https://nexchain.ai,AI-powered Layer-1 blockchain with 400k TPS capability,1810,Purchase NEX tokens during presale campaign,Nexchain: AI-Powered Blockchain Airdrop,"AI, Blockchain, Layer 1, TPS","Promote Blockchain Products, Presale",Intermediate,"Purchase tokens, join presale, complete KYC, refer others",https://app.layer3.xyz/activations/nexchain-aipowered-blockchain-airdrop,https://purchase.nexchain.ai/?r=cmexatkd10003l504f2vczs5b,https://docs.google.com/document/d/1CqNqraq2ZRaRFM9Gb875mFQ9u6HLwOktjWXL9VQQjA0/edit?tab=t.0,https://purchase.nexchain.ai,https://nexchain.ai/documents/Whitepaper-Nexchain.pdf,https://nexchain.ai/,https://x.com/nexchain_ai,N/A,https://t.me/nexchain_ai,N/A,https://www.linkedin.com/company/nexchainai/,NEX,https://coinmarketcap.com/community/profile/Nexchain/
