Resource,URL,Description,Notes,Type,Expertise to Use,Freemium,Pricing,Use cases,Region,Resource Type,Theme,Category
Content Creation,,,,,,,,,,,,
Template Creation,,,,,,,,,,,,
SoMe Templates (Klint) - Canva and PSD [Sheet],SoMe Templates (Klint) -  Canva and PSD,Klint social templates with Canva and PSD links,"Formats, sizes, template URLs, download assets, reuse guidance",Design template library,Beginner,N/A,Free,"Find templates fast, create branded posts, speed production, simplify designer handoff",Global,Resource,Content Creation,Template Creation
Design / Brand Template Creation Resources [Sheet],Design / Brand Template Creation Resources,Resources for building design and brand templates,"Tools, references, examples, workflows, learning links",Design resources hub,Beginner,N/A,Free,"Build template systems, improve brand consistency, train designers, standardize deliverables",Global,Resource,Content Creation,Template Creation
Style Guide Templates (Figma) [Sheet],Style Guide Templates,Curated style guide template links and examples,"Figma templates, PDF examples, notes, difficulty, use cases",Branding template directory,Beginner,N/A,Free,"Create brand guides, build design systems, standardize identity, find template inspiration",Global,Tool List,Content Creation,Template Creation
Template - Logo Assets [Sheet],Template - Logo Assets,Logo asset library with sizes and Drive links,"Light and dark variants, square and rectangular sizes, PNG PSD SVG AI links",Brand asset library,Beginner,N/A,Free,"Download correct logo size, pick light or dark variant, share brand assets, speed design handoffs, standardize exports",Global,Template,Content Creation,Template Creation
,,,,,,,,,,,,
Writing,,,,,,,,,,,,
Post Categories and Ideas [Sheet],Post Categories and Ideas,"Post types and ideas - Pillars, Themes, and Topics for SoMe",Post categories,Ideas,Beginners,Free,Free,"LinkedIn posts, content ideas, engagement",Global,Resource,Content Creation,Writing
Prompt - Written Post Elements [Doc],Prompt - Written Post Elements,Guide to crafting written prompts,"Includes structure, examples, and best practices for writing effective prompts",Prompt,Beginners,Free,Free,"Content creation, writing improvement, prompt development",Global,Prompt,Content Creation,Writing
Written Post Elements Deconstructed [Sheet],Written Post Elements Deconstructed,Breakdown of post elements,"Analyzes components like hooks, CTAs, and structures in written content",Resource,Beginners,Free,Free,"Writing analysis, content optimization, educational reference",Global,Resource,Content Creation,Writing
Prompt - Building Superlative Listicles {{Doc}},Prompt - Building Superlative Listicles,Prompt to build superlativ posts,"Templates, writing prompts, content ideas",Prompt,Beginners,Free,Free,"Build listicles with any product, service, industry",Global,Prompt,Content Creation,Writing
Superlative Listicles [Sheet],"Superlative Listicles - Best / Worst - Tools, Companies, Industries, Skills, Projects, etc","Top, best, and superlative listicles",Superlative listicles,Ideas,Beginners,Free,Varies,"Content ideas, listicle creation, branding",Global,Resource,Content Creation,Writing
Writing Tools [Sheet],Writing Tools,"Writing, scraping, editing tools","Writing, editing, scraping, grammar, AI writing",Tools,Beginners,Limited access to tools,Varies,"Writing, editing, content generation",Global,Resource,Content Creation,Writing
,,,,,,,,,,,,
Video,,,,,,,,,,,,
Content Creation - Your Portfolio [Sheet],Content Creation - Your Portfolio,Types of portfolio content,Types of content to easily make,Ideas,Beginners,Free,Varies,"Portfolio creation, content ideas, branding",Global,Resource,Content Creation,Video
Prompt - Video Content Ideas [Doc],Prompt - Video Content Ideas,Video content ideas prompt,"Prompt templates, video themes, content suggestions",Content Ideation Guide,Beginners,N/A,N/A,"Video content planning, idea generation, creative prompts",Global,Prompt,Content Creation,Video
Content Creation - Your Portfolio [Sheet],Content Creation - Your Portfolio,Video content ideas for you to create,"Video types, themes, viral scores, example titles",Content Planning Tool,Beginners,N/A,N/A,"Portfolio development, content strategy, video creation planning",Global,Resource,Content Creation,Video
Video Examples [Sheet],Video Examples,More video examples,"Video types, URLs, descriptions, notes",Content Inspiration Sheet,Beginners,N/A,N/A,"Video inspiration, content analysis, format exploration",Global,Resource,Content Creation,Video
Video Elements Deconstructed [Sheet],Video Elements Deconstructed,Breakdown of video elements,"Video elements, explanations, categories, use cases",Content Analysis Tool,Beginners,N/A,N/A,"Video structure analysis, content optimization, educational reference",Global,Resource,Content Creation,Video
Video Tools [Sheet],Video Tools ,Video creation and editing tools,"Video editing, animation, text-to-video, creativity",Tool Directory,"Beginners, Intermediate",Limited editing features,Varies,"Video editing, animation, content marketing",Global,Resource,Content Creation,Video
,,,,,,,,,,,,
Visual,,,,,,,,,,,,
Visual Tools [Sheet],Visual Tools,"Graphic design, visual creation tools","Graphic design, presentations, generative AI, visuals",Tools,Beginners,"Limited tools, basic templates",Varies,"Graphic design, presentations, branding",Global,Resource,Content Creation,Visual
"Visual SoMe Pillars, Themes, and Topics [Sheet]","Visual SoMe Pillars, Themes, and Topics",Social media content framework,"Includes topic concepts, explanations, themes, pillars, virality scores, and title examples",Content Planning Tool,Beginners,N/A,N/A,"Social media content planning, idea generation, content structuring",Global,Resource,Content Creation,Visual
Visuals Elements Deconstructed [Sheet],Visuals Elements Deconstructed,Breakdown of visual elements,"Lists various visual elements with explanations, categories, and use cases",Content Analysis Tool,Beginners,N/A,N/A,"Visual content creation, design inspiration, educational reference",Global,Resource,Content Creation,Visual
Prompt - Visual Content Formats [Doc],Prompt - Visual Content Formats ,Visual content prompt templates,Provides structured prompts for various visual content formats,Content Ideation Guide,Beginners,N/A,N/A,"Visual content planning, prompt development, creative inspiration",Global,Prompt,Content Creation,Visual
,,,,,,,,,,,,
Other Tools,,,,,,,,,,,,
Audio Tools [Sheet],Audio Tools,Audio creation and editing tools,"AI music, voice effects, customizable tracks",Tools,Beginners,Limited music generation,Varies,"Podcasting, audio editing, voice cloning",Global,Resource,Content Creation,Other Tools
LinkedIn Content Tools,Linkedin Content Tools,LinkedIn content creation tools,"Analytics, profile reviews, campaigns, content creation",Tools,Beginners,Limited analytics access,Varies,"LinkedIn posts, personal branding, networking",Global,Resource,Content Creation,Other Tools
Publishing Tools and Channels,Publishing Tools and Channels,Publishing and scheduling tools,"Social media, planners, scheduling, analytics",Tools and Channels,Beginners,Limited scheduling features,Varies,"Social media, scheduling, analytics",Global,Resource,Content Creation,Other Tools
Gimmicky Tools,Gimmicky  Tools,"Fun, creative, and viral tools","Memes, handwritten notes, fax, custom gifts",Tools,Beginners,Limited free features,Varies,"Meme creation, fun content, viral marketing",Global,Resource,Content Creation,Other Tools
AI Dev Tools [Sheet],AI Dev Tools,Curated AI tools spreadsheet,"Code editors, automation platforms, productivity enhancers",Resource List,Beginner,Free access,Free,"Tool discovery, comparison, research",Global,Resource,Content Creation,Other Tools
Automation Tools [Sheet],Automation Tools,Curated automation tools list,"Workflow automation, integrations, productivity tools",Resource List,Beginner,Free access,Free,"Tool discovery, comparison, research",Global,Resource,Content Creation,Other Tools
Online Learning Platforms,Online Learning Platforms,Online education tools list,"Course platforms, certifications, free/paid options",Educational Resources,Beginners to Advanced,"Free courses, trials available",Varies by platform,"Skill development, certifications, career advancement",Global,Resource,Content Creation,Other Tools
