Event Name,Date (DD/MM/YY),Event Type,Title,Organization,Program URL,Program,Format,Online / In-Person,Length,Organization URL,Event Promo,Full Length Video,Teaser Video,"City, Country",Full Address,Org Industry,Org Type,Organization Tags,Description,Elements,Topic Focus,Theme,Niche,Tags
2026,,,,,,,,,,,,,,,,,,,,,,,,
JetBrains Global Tech Leads Off-Site,19-Jan-26,Offsite Summit,Using AI for Competitor Research and Analysis,JetBrains,https://www.jetbrains.com/,JetBrains Tech Leads Off-Site Summit,Workshop,In Person,1 Hour,https://www.jetbrains.com/,-,https://youtu.be/YMo67F0sw2c,-,"Amsterdam, Netherlands","Gelrestraat 16, 1079 MZ Amsterdam, Netherlands ","Developer tools, software",Developer tools company,"IDEs, developer productivity, Kotlin, engineering tools, team workflows, software vendor","AI-powered competitor research workflows, market mapping, signal extraction, decision-ready insights for tech leaders","Competitive landscape mapping, AI-assisted research prompts, SERP and keyword intelligence, feature gap analysis, positioning notes, tooling stack, reporting formats",AI competitor intelligence,AI and Automation,Tech leads,"Competitive intelligence, Market research, AI workflows, Strategy, Tech leadership"
2025,,,,,,,,,,,,,,,,,,,,,,,,
Scale Smarter: Growth Strategies for B2C Startups,17-Nov-25,Workshop,B2C Growth Strategies Workshop,INTENTIONAL,https://www.eventbrite.com/e/scale-smarter-growth-strategies-for-b2c-startups-tickets-1781582765009,INTENTIONAL founder workshop series,Workshop,In-Person,3 Hours,https://www.intentional.dk/,https://www.linkedin.com/posts/intentionaldk_startupgrowth-b2c-scalesmarter-activity-7392470904418635776-rems?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAIUGUcBrs8ipP7GmUVTfpdlB6DwYU9PIVU,-,-,"Copenhagen, Denmark","Digital Hub Denmark, Langebrogade 3B, 3. sal, 1411 Copenhagen K, Denmark","Business consultancy, DEI, ESG",Company (consultancy),"DEI, ESG, startup scaling, international expansion, founder programs","B2C growth framework, positioning, channels, experiment cadence, conversion levers, scale playbook","ICP, messaging, funnel design, TikTok and paid social, retention loops, metrics and dashboards, experimentation cadence",B2C growth strategy,Digital Marketing Sales,B2C startups,"growth strategy, funnels, paid social, retention, experimentation"
SCV Spring 2025: Product Growth,8-May-25,Workshop,Getting your first customers and adding growth to your daily playbook,SuperCharger Ventures,https://www.superchargerventures.com/supercharger-ventures-malta-accelerator,"SuperCharger Ventures Malta Accelerator (In-Person), Spring 2025 cohort",Workshop,Online,2 Hours,https://www.superchargerventures.com/,-,https://youtu.be/DmhHClUb4wc,-,"Valletta, Malta","The Brewhouse, Mdina Road, Zone 2 Central Business District, CBD 2010, Malta","EdTech accelerator, venture ecosystem",Accelerator program,"EdTech, accelerator, mentorship, investor network, global hubs","First 100 customers, growth loops, daily experiments, channel strategy, product messaging, metrics","ICP and segmentation, positioning, acquisition channels, onboarding, retention, referral loops, pricing tests, analytics",First customers playbook,Start-ups and Entrepreneurship,Startup founders,"product growth, acquisition, retention, growth loops, experimentation"
Techstars Dublin 2025 - Web3 Cohort,20-Mar-25,Workshop,Growth Hacks for Blockchain Projects w/ Taylor Ryan,Techstars,https://www.techstars.com/newsroom/applications-open-for-techstars-web3-2025,"Techstars Web3 Accelerator (Dublin), 2025",Masterclass,Online,1 Hour,https://www.techstars.com/,-,-,-,"Dublin, Ireland","Huckletree D2, The Academy, 42 Pearse Street, Dublin 2, D02 YX88, Ireland","Startup accelerator, venture capital",Accelerator program,"mentorship-driven accelerator, founder network, venture investing, global community, Web3 track","Web3 GTM sprints, partnership pipelines, community flywheels, listings, influencer loops, launch momentum","token and narrative positioning, community growth, partnerships, ecosystems, ambassador programs, on-chain funnels, analytics",Web3 growth hacking,Blockchain Crypto and Web3,Web3 founders,"Web3 marketing, partnerships, community, GTM, growth hacking"
Trigify Automation Live Show,6-Mar-25,Webinar,How To Master Online Growth Hacking | Growth Secrets,Trigify,https://www.youtube.com/@trigifyautomation,Trigify Automation Live Show (YouTube),Webinar,Online,1 Hour,https://www.trigify.io/,-,https://youtu.be/p4rHMsdGLD8?si=D2xu7vpWWXckfe_k,-,"Petersfield, United Kingdom","Orchard Cottage, East Meon, Petersfield, England, GU32 1PH, United Kingdom","Software development, sales intelligence, social listening",Company (SaaS),"sales intelligence, social listening, AI workflows, B2B SaaS, integrations","Online growth tactics, automation, funnels, outreach systems, tool stack, metrics for repeatable wins","experimentation frameworks, outreach automation, content loops, SEO basics, conversion optimization, tracking and attribution, workflow tooling",Online growth hacking,Digital Marketing Sales,B2B SaaS teams,"growth hacking, automation, funnels, outreach, analytics"
2024,,,,,,,,,,,,,,,,,,,,,,,,
ChainHub Accelerator - ChainHub Foundation,4-Dec-24,Workshop,Community Growth in Web3: Scale GTM With Quests,ChainHub Foundation,https://csl.chainhub.foundation/,ChainHub Accelerator,Workshop,Online,1 Hour,https://csl.chainhub.foundation/,https://csl.chainhub.foundation/,-,-,"Austin, United States",-,"Blockchain, Web3 education and accelerator",Web3 Accelerator,"web3 education, accelerator, cryptography, DeFi, research, Austin","Quest-based onboarding, activation loops, verification, incentives, measurement, scaling community-led GTM.","quest design, onboarding flows, verification, incentives, activation loops, retention metrics",Quests for GTM,Blockchain Crypto and Web3,Web3 founders,"quests, community growth, onboarding, GTM, retention"
Ocean x Clay - Clay Clubs,27-Jun-24,Webinar,Duplicate Your Favorite Customer (Clay + Ocean),Clay,https://luma.com/claylive,Clay Clubs,Webinar,Online,1 Hour,https://www.clay.com/,https://lu.ma/mj0jsmi8,https://www.youtube.com/watch?v=EAGsxUidbjQ,-,"New York, United States","111 W 19th Street, New York, NY 10011, United States","B2B SaaS, sales intelligence and data enrichment",SaaS,"data enrichment, GTM ops, outbound, workflow automation, sales intelligence","Lookalike ICPs, enrichment pipelines, list building, outbound automation, cleaner targeting, faster pipeline.","ICP modeling, lookalike accounts, enrichment, segmentation, Clay workflows, outbound sequences",Lookalike Prospecting,Digital Marketing Sales,RevOps,"outbound, data enrichment, ICP, automation, GTM"
Crypto Summer Lab 2024 - ChainHub Foundation,25-Jun-24,Workshop,Community Growth in Web3: Scale GTM With Quests,ChainHub Foundation,https://csl.chainhub.foundation/,Crypto Summer Lab,Workshop,Online,1 Hour,https://csl.chainhub.foundation/,https://csl.chainhub.foundation/,-,-,"Austin, United States","200 W 6th St, Austin, TX 78701, United States","Blockchain, Web3 education and accelerator",Web3 Accelerator,"web3 education, accelerator, cryptography, DeFi, research, Austin","Design quests that drive first use, referrals, retention, plus tracking for compounding Web3 community growth.","quest mechanics, referral loops, wallet verification, incentives, retention loops, analytics",Quests for GTM,Blockchain Crypto and Web3,Web3 founders,"quests, community, onboarding, referrals, analytics"
